1<>名前が無い程度の能力<>sage<>2008/08/18(月) 21:19:36<>―――‐-.._　　　　　　　　　　　r.､__,､<br>＿:::::::::::::::::::::＼__,,.-―¬　　　　ゝ、「￣/___<br>　　｀＼ _..　-―‐- _:::::::::{_　-―‐'‐ヽ!._/_／<br>_／￣｀ .&gt;　　　　 　 ｀ヾ´　 ''&quot; ,,-‐'&quot;´<br>､　　　 / l　　　/　　　､ ｀ヽ／<br>　ゝ､ /　l　　 /l　 l　iﾍ ヽ ､ヾ､　＜AAで語るよ〜<br>　l 　 　 |　　ﾊ‐l‐- ﾘ　 ',-l‐} |.　　　, ! ,　<br>. |　l 　 |　 ｲ__i_lヽノ　　i_ﾉ_」ﾉ　〜- Ｏ -<br>│ l　l.:| 　 ! -―-　　 --|´! 　 　 　' i '　<br>.|　| .ｌ:.:|　 ｉ| &quot;&quot;&quot;　 _　 &quot;&quot;| .|　　　r-i<br>| .:| .l_rｉ　 l|ゝ.._ 　 '┘ _ノ　|i　　,:'￣｀､<br>.:.:| .|〉 l、 ｌ|＼ﾉ_}Τ￣ｌ. 　 ﾘ　, '　　　 ヽ<br>:::|.::|{、| ﾍ!|ゝﾊ l.ﾉ| |:.:.l:.　 ! 　{　　　　　｝<br>.:l.:.:/ ｀|　 | /::::|::| | |:.:.|:. ﾉ　　:､　　　　:'<br>.:.:./ 　 |　 |':::::::|:::|.| ゝ=〈　　　 ｝＝＝｛<br>:_ﾉ＿__ |　 |;;;;;_」r' |/:. ﾊ!　　,r'´　　　　ヽ､<br>￣o￣ｏ|　 |¬.`|　|ヽ,､ﾉ　,:'　　　　　　 　:::!<br>＿＿_r‐|　 |_＾iV|,_,ﾄ､＿＿!　　　　　　　 :::,!<br>-― ´￣｀ｰ-､」 〉___/　, ／ ￣ヽ　　　 ,,;;,,:'<br>　　　　　　　　 ｀＼　／　　　　　} ,,;:;:;:;:;:''<br>・前スレ<br>東方AAスレ　其の十五<br>ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/41116/1213711372/<br><br>・AAスレの標準環境とか<br>ttp://touhou-aamatome.sakura.ne.jp/about.html<>東方AAスレ　其の十六<>As3Rau260
932<>名前が無い程度の能力<>sage<>2008/11/04(火) 02:23:54<>touhou wikiという手もある<br>ttp://touhou.wikia.com/wiki/Flower_Tank<br>よくできてるんじゃないかな<a href="/bbs/read.cgi/computer/41116/1219061976/921" target="_blank">&gt;&gt;921</a><br>こっちだとちょっとずれて見えるけど<br><br>touhou wikiだとるーことの絵も見れる<br>…が件のマークが見えるアングルの絵はないな残念ながら(ちなみに背中のはず)<><>xZSz9iV20
945<>名前が無い程度の能力<>sage<>2008/11/05(水) 01:50:35<>文字ばっかだったので<br>需要があるかわからないけどプチキャラでこいしちゃん<br><br>.⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒☆　　*<br>　 人　　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ　　　　☆<br>／　 ＼／　ﾟ.＼／ 　ﾟ＼／　 ＼／　 .＼／　 .＼／ 　＼／　 .＼／　 .＼／　☆　*<br>　　　　 ,. -‐─-rｧ ﾟ+ 。* ﾟ ﾟ+。 *　　。　ﾟ　+　　。　*　ﾟ　ﾟ +　。*ﾟﾟ+。*ﾟﾟ ﾟ+。 *　☆　*<br>　 　　rk=ニ二ﾆK&gt; ﾟ+ 。* ﾟ ﾟ+。 *　　。　ﾟ　+　　*　+　。*ﾟﾟ+。*ﾟﾟ ﾟ+。☆　*☆　*<br>.　　　｀!ノ) ﾉノ)ﾉ 〉 ﾟ+ 。* ﾟ ﾟ+。 *　　。　ﾟ+　。*ﾟﾟ+。*ﾟﾟ ﾟ+。☆　*<br>　　　 〈 ﾉｲ ﾟ ヮﾟﾉ(ﾌ <br>　　　　　仁{l(⌒⌒)　　受け取って<br>　　　　　/ﾊヽ＼／<br>　　　 　 ^'i_ﾗ'i_ﾗ'~。*ﾟﾟ+ 。 。* ﾟﾟ+。*　　。　ﾟ　+　　。　*　ﾟ　ﾟ +　。.。*ﾟﾟ+ 。 。*　。<br>.⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒☆　　*<br>　 人　　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ　　　　☆<br>／　 ＼／　ﾟ.＼／ 　ﾟ＼／ 　＼／　 .＼／　. ＼／　 ＼／　 .＼／　 .＼／　☆　*<><>kqK85zkQ0
946<>名前が無い程度の能力<>sage<>2008/11/05(水) 10:44:11<>プチキャラって文字がブチャラティに見えた<><>iE5BA6j.0
947<>名前が無い程度の能力<>sage<>2008/11/05(水) 13:13:24<>上下のハートが歯に見えた<><>bcNhA.wA0
948<>名前が無い程度の能力<>sage<>2008/11/05(水) 16:33:27<>FCの算数ゲームで虫歯治す奴っぽいな<><>Z3/G4IOY0
949<>名前が無い程度の能力<>sage<>2008/11/05(水) 18:04:08<><br> 　　　　　　　　　　　　　　　　　＿＿＿＿＿<br>　　　　　　　　　　　　　　　　／　　　　　　　 ＼<br>　　　　　　　　　　　　　　 ／　 ／￣￣￣＼　 ＼<br>　　　　　　　　　　　　　　|　／　＿＿＿ ＿.＼　 |<br>　　　　　　　　　　　 　 　|　|　／　　　　　　|　|　 |<br>　　　　 　 　　.　　　.　 　|　|　|　／￣＼　 .|　|　 |<br>　　　　　　 　　 　 　　　 |　|　|　|　　　　|　.|　|　 |<br>　　　　　　　　　　..　.　　|　|　|　＼＿／　 |／／<br>　　　　　　　　　 　　 　　|　|　＼＿＿／|＿／　<br>　　　　　　　　　　　　　　|　＼　　　　　　　　　＿<br>　　　　　　　　  　　　　　＼　＼＿＿＿＿／ ／<br>　　　　　　　 　　　　　　　 ＼＿＿＿＿＿／<br><br><br><br><br><br>　　　　　　　　　　○　　　　　　　　　　　　　　　　　　　　　　　○<br><br><br><br><br><br><br><br><br><br><br><br>.⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒☆　　<br>　 人　　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ　　　<br>／　 ＼／　ﾟ.＼／ 　ﾟ＼／　 ＼／　 .＼／　 .＼／ 　＼／　 .＼／　 .＼／　☆　<br>.⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒☆　　　　ミ<br>　 人　　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ　　　<br>／　 ＼／　ﾟ.＼／ 　ﾟ＼／ 　＼／　 .＼／　. ＼／　 ＼／　 .＼／　 .＼／　　　　　　　　　　 　☆<><>WFMlNzgM0
950<>名前が無い程度の能力<>sage<>2008/11/05(水) 19:16:28<>幽々子www<><>x4xDtp8Q0
951<>名前が無い程度の能力<>sage<>2008/11/05(水) 19:20:02<>喰われたｗｗｗｗｗｗ<><>EqwOGZYw0
952<>名前が無い程度の能力<>sage<>2008/11/05(水) 19:27:36<>グラトニー！グラトニーじゃないか！！<><>z5pTy.cQ0
953<>名前が無い程度の能力<>sage<>2008/11/05(水) 21:34:41<><a href="/bbs/read.cgi/computer/41116/1219061976/945" target="_blank">&gt;&gt;945</a><br>やめてトラウマやめて<><>pAOfk6lE0
954<>名前が無い程度の能力<>sage<>2008/11/06(木) 00:27:32<>　　　　　　　　　　　　　＿＿＿＿＿<br>　　　　　　　　　　　　／　　　　　　　 ＼<br>　　　　　　　　　　 ／　 ／￣￣￣＼　 ＼<br>　　　　　　　　　　|　／　＿＿＿ ＿.＼　 |<br>　　　　　　　 　 　|　|　／　　　　　　|　|　 |<br>　 　　 　　　 　 　|　|　|　／￣＼　 .|　|　 |<br>　　 　　 　 　　　 |　|　|　|　　　　|　.|　|　 |<br>　　　　　　..　.　　|　|　|　＼＿／　 |／／<br>　　　　　 　　 　　|　|　＼＿＿／|＿／　<br>　　　　　　　　　　|　＼　　　　　　　　　＿<br>　　　　　 　　　　　＼　＼＿＿＿＿／ ／<br>　　　　 　　　　　　　 ＼＿＿＿＿＿／<br><br><br><br><br><br>　　　　　　○　　　　　　　　　　　　　　　　　　　　　　　○<br><br><br><br><br>　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　||　　/￣＼<br>　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　||　　 　　／<br>　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　||　　　 │<br>　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　。　　　 。 <br><br>Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒<br>　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ … …ｵﾗｵﾗｵﾗｵﾗ… …<br>／　ﾟ.＼／ 　ﾟ＼／　 ＼／　 .＼／　 .＼／ 　＼／　 .＼／　 .＼／　<br>Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒Y⌒<br>　　人　　　.人　　　人　　　人　　　.人　　　人　　　人　　　.人　　　,ﾉ　　　<br>／　ﾟ.＼／ 　ﾟ＼／ 　＼／　 .＼／　. ＼／　 ＼／　 .＼／　 .＼／<><>Ismsd/yc0
